new_id;root_bogdan;root_form;mpnl;norm;par_index;extent;Reference
3418;506;лопат;((лопат)).а;лопата;2/f;;
3419;505;лоп;(лоп).от.ив.ъ;лопотивъ;2/a;;
3420;507;лук;(лук).ъ;лукъ;2/m;;
3421;508;лун;(лун).а;луна;2/f;;
3422;508;лун;(лун).ьск.ъ;луньскъ;2/a;;
3423;510;луч;(луч).а;луча;2/f;;
3424;509;луч;(луч).а.т.и;лучати;7;;
3425;509;луч;(луч).ьё.ь;лучии;2/a**;;
3426;509;луч;(луч).и.т.и;лучити;1;;
3427;511;лъб;(лъб).ьн.ъ;лъбьнъ;2/a;;
3428;512;лъг;(лъг).а.т.и;лъгати;3;;660
3429;512;лъж;(лъж).а;лъжа;2/f;;660
3442;512;лъж;(лъж).ив.ъ;лъживъ;2/a;;660
3444;512;лъж;(лъж).ь;лъжь;2/a;;660
3445;512;лъж;(лъж).ьн.ъ;лъжьнъ;2/a;;660
3447;513;льв;(льв).ьЁ.ь;львии;2/a;;
3448;513;льв;(льв).ов.ъ;львовъ;2/a;;
3449;513;льв;(льв).ъ;львъ;2/m;;
3450;513;льв;(льв).ьск.ъ;львьскъ;2/a;;
3453;514;льг;(льг).ък.ъ;льгъкъ;2/a;;
3454;514;льг;(льг).ъч.и.т.и;льгъчити;1;;
3455;514;льг;(льг).ыН.и;льгыНи;2/f*;;
3457;515;льн;(льн).эн.ъ;льнэнъ;2/a;;
3458;499;льст;(льст).ив.ъ;льстивъ;2/a;;659
3459;499;льст;(льст).и.т.и;льстити;1;;659
3460;499;льст;(льст).ь;льсть;1/f;;659
3461;499;льст;(льст).ьн.ъ;льстьнъ;2/a;;659
3462;499;льст;(льст).ьц.ь;льстьць;2/m;;659
3463;517;льщ;(льщ).э.н.ьЁ.е;льщаниЕ;2/n;;
3464;517;льщ;(льщ).э.т.и;льщати;2;;
3465;499;льщ;(льщ).ен.ьЁ.е;льщениЕ;2/n;;659
3467;518;лэв;(лэв).ъ;лэвъ;2/a;;
3469;482;лэг;(лэг).а.т.и;лэгати;3;;827
3470;520;лэн;(лэн).ив.ъ;лэнивъ;2/a;;
3471;520;лэн;(лэн).и.т.и;лэнити;1;;
3472;520;лэн;(лэн).ост.ь;лэность;1/f;;
3473;520;лэн;(лэн).ъ;лэнъ;2/a;;
3474;516;лэп;(лэп).от.а;лэпота;2/f;;776
