root_number;root_form;mphl;norm;par_index;class;extent;reference
70;бэд;по.(бэд).ьл.ив.ъ;побэдьливъ;2/a;a;;
70;бэд;по.(бэд).ьн.ик.ъ;побэдьникъ;2/m;n;;
70;бэд;по.(бэд).ьн.ъ;побэдьнъ;2/a;a;;
74;ваЖ;по.(ваЖ).а.т.и;поваЖати;7;v;;
74;вад;по.(вад).и.т.и;повадити;1;v;;
79;вап;по.(вап).ьн.и.т.и;повапьнити;1;v;;
85;вел;по.(вел).э.в.а.т.и;повелэвати;7;v;;810
85;вел;по.(вел).э.н.ьЁ.е;повелэниЕ;2/n;n;;810
85;вел;по.(вел).э.т.и;повелэти;2;v;;810
75;вед;по.(вед).т.и;повести;4c;v;;661, 666
95;виЁ;по.(виЁ).а.т.и;повиАти;7;v;;731
95;ви;по.(ви).в.а.т.и;повивати;7;v;;731
96;ви;по.(ви).н.ов.а.т.и;повиновати;6;v;;732
96;ви;по.(ви).н.ьн.ъ;повиньнъ;2/a;a;;732
95;ви;по.(ви).т.и;повити;4h*);v;;731
105;влэк;по.(влэк).т.и;повлэщи;4c*(;v;см. п.  502;62, 772
75;вод;по.(вод).ат.аЁ.ь;поводатаи;2/m;n;;661, 666
122;врэз;по.(врэз).т.и;поврэсти;4c*(;v;;62, 678, 748
121;врэг;по.(врэг).т.и;поврэщи;4c*(;v;;62, 747
707;праш;по.въ.(праш).а.т.и;повъпрашати;7;v;;657
857;слэд;по.въ.(слэд).ов.а.т.и;повъслэдовати;6;v;;
140;вэд;по.(вэд).а.н.ьЁ.е;повэданиЕ;2/n;n;;
140;вэд;по.(вэд).а.т.и;повэдати;7;v;;
140;вэд;по.(вэд).ов.а.т.и;повэдовати;6;v;;
140;вэд;по.(вэд).ь;повэдь;1/f;n;;
140;вэд;по.(вэд).э.т.и;повэдэти;0;v;;
101;вэс;по.(вэс).и.т.и;повэсити;1;v;;663
140;вэд;по.(вэд).т.ь;повэсть;1/f;n;;
140;вэд;по.(вэд).т.ьн.ъ;повэстьнъ;2/a;a;;
153;гаН;по.(гаН).а.т.и;погаНАти;7;v;;683, 818
690;поган;((поган)).ин.ъ;поганинъ;2/m++;n;;
690;поган;((поган)).ъ;поганъ;2/a;a;;
690;поган;((поган)).ыН.и;поганыНи;2/f+;n;;
690;поган;((поган)).ьск.ъ;поганьскъ;2/a;a;;
155;гас;по.(гас).и.т.и;погасити;1;v;;
161;глад;по.(глад).и.т.и;погладити;1;v;;
164;глум;по.(глум).и.т.и;поглумити;1;v;;
166;глът;по.(глът).и.т.и;поглътити;1;v;;
166;глъщ;по.(глъщ).а.т.и;поглъщати;7;v;;
170;гнет;по.(гнет).т.и;погнести;4c;v;;658
172;гнэв;по.(гнэв).а.т.и;погнэвати;7;v;;
153;гон;по.(гон).и.т.и;погонити;1;v;;683, 818
190;греб;по.(греб).ен.ьЁ.е;погребениЕ;2/n;n;;661, 667
190;греб;по.(греб).и.т.еЛ.ь;погребитеЛь;2/m+;n;;661, 667
190;греб;по.(греб).т.и;погрети;4c;v;;661, 667
190;гриб;по.(гриб).а.т.и;погрибати;7;v;;661, 667
207;грйж;по.(грйж).а.т.и;погрйжати;7;v;;693
207;грйж;по.(грйж).ен.ьЁ.е;погрйжениЕ;2/n;n;;693
207;грйз;по.(грйз).и.т.и;погрйзити;1;v;;693
190;грэб;по.(грэб).а.н.ьЁ.е;погрэбаниЕ;2/n;n;;661, 667
190;грэб;по.(грэб).а.т.и;погрэбати;7;v;;661, 667
154;грэ;по.(грэ).ш.ен.ьЁ.е;погрэшениЕ;2/n;n;;749
154;грэ;по.(грэ).ш.и.т.и;погрэшити;1;v;;749
207;гряз;по.(гряз).н.й.т.и;погрязнйти;5;v;;693
210;губЛ;по.(губЛ).а.т.и;погубЛАти;7;v;;705
210;губЛ;по.(губЛ).ен.ьЁ.е;погубЛЕниЕ;2/n;n;;705
210;губ;по.(губ).и.т.и;погубити;1;v;;705
153;гън;по.(гън).а.т.и;погънати;0;v;;683, 818
210;гыб;по.(гыб).а.т.и;погыбати;7;v;;705
210;гыб;по.(гыбЛ).ен.ьЁ.е;погыбЛЕниЕ;2/n;n;;705
210;гыб;по.(гыб).эл.ь;погыбэль;1/f;n;;705
210;гыб;по.(гыб).эл.ьн.ъ;погыбэльнъ;2/a;a;;705
216;да;по.(даё).а.т.и;подаАти;3;v;;820
216;да;по.(да).Р.а.т.и;подаРАти;7;v;;820
217;давЛ;по.(давЛ).а.т.и;подавЛАти;7;v;;
216;да;по.(да).в.а.т.и;подавати;7;v;;820
217;дав;по.(дав).и.т.и;подавити;1;v;;
222;движ;по.(движ).ьн.ик.ъ;подвижьникъ;2/m;n;;
222;движ;по.(движ).ьн.ъ;подвижьнъ;2/a;a;;
230;див;по.(див).и.т.и;подивити;1;v;;
235;добЛ;по.(добЛ).ен.ьЁ.е;подобЛЕниЕ;2/n;n;;
235;доб;по.(доб).а;подоба;2/f;n;;
235;доб;по.(доб).а.т.и;подобати;7;v;;
235;доб;по.(доб).ьЁ.е;подобиЕ;2/n;n;;
235;доб;по.(доб).и.т.и;подобити;1;v;;
235;доб;по.(доб).ьн.ъ;подобьнъ;2/a;a;;
235;доб;по.(доб).ьств.ьЁ.е;подобьствиЕ;2/n;n;;
243;драг;по.(драг).ъ;подрагъ;2/m;n;;
243;драж;по.(драж).а.н.ьЁ.е;подражаниЕ;2/n;n;;
243;драж;по.(драж).а.т.еЛ.ь;подражатеЛь;2/m+;n;;
243;драж;по.(драж).а.т.и;подражати;7;v;;
243;драж;по.(драж).ен.ьЁ.е;подражениЕ;2/n;n;;
243;драж;по. (драж).ив.ъ;подраживъ;2/a;a;;
243;драж;по. (драж).и.т.и;подражити;1;v;;
243;драж;по.(драж).ьн.ик.ъ;подражьникъ;2/m;n;;
257;дрйж;по.(дрйж).и.т.и;подрйжити;1;v;;
248;друг;по.(друг).ъ;подругъ;2/m;n;;
248;друж;по.(друж).ьЁ.е;подружиЕ;2/n;n;;
250;дрьж;по.(дрьж).э.н.ьЁ.е;подрьжаниЕ;2/n;n;;
250;дрьж;по.(дрьж).э.т.и;подрьжати;2;v;;
334;я;подъ.(ёя).т.еЛ.ь;подъЯтеЛь;2/m+;n;;655, 691
334;я;подъ.(ёя).т.и;подъЯти;4h;v;;655, 691
334;я;подъ.(ёя).т.ьЁ.е;подъЯтиЕ;2/n;n;;655, 691
186;гор;подъ.(гор).ьЁ.е;подъгориЕ;2/n;n;;
250;дрьж;подъ.(дрьж).э.т.и;подъдрьжати;2;v;;
408;кон;подъ.за.(кон).ьн.ъ;подъзаконьнъ;2/a;a;;
313;зем;подъ.(зем).ьЁ.е;подъземиЕ;2/n;n;;
334;ьм;подъ.(ёьм).а.т.и;подъимати;3*;v;;655, 691
766;рок;по.(рок).ъ;порокъ;2/m;n;;661, 673
784;ръп;по.(ръп).ът.а.т.и;поръпътати;3;v;;
787;рьв;по.(рьв).ьн.ов.а.т.и;порьвьновати;6;v;;
769;рэj;по.(рэЁ).а.т.и;порэАти;3;v;;739
793;ряд;по.(ряд).ьЁ.е;порядиЕ;2/n;n;;
798;саЖ;по.(саЖ).а.т.и;посаЖати;7;v;;832
698;посаг;((посаг)).а.т.и;посагати;7;v;;
698;посаг;((посаг)).н.й.т.и;посагнйти;5;v;;
798;сад;по.(сад).и.т.и;посадити;1;v;;832
936;сйЖ;по.(сйЖ).ен.ьЁ.е;посйЖениЕ;2/n;n;;
936;сйд;по.(сйд).и.т.и;посйдити;1;v;;
836;скръб;по.(скръб).э.т.и;поскръбэти;2;v;;
837;скрьж;по.(скрьж).ьт.а.т.и;поскрьжьтати;3;v;;
850;служ;по.(служ).ен.ьЁ.е;послужениЕ;2/n;n;;
850;служ;по.(служ).и.т.и;послужити;1;v;;
844;слу;по.(слу).х.ов.а.т.и;послуховати;6;v;;720
844;слу;по.(слу).х.ъ;послухъ;2/m;n;;720
844;слу;по.(слу).ш.а.н.ьЁ.е;послушаниЕ;2/n;n;;720
844;слу;по.(слу).ш.а.т.и;послушати;7;v;;720
844;слу;по.(слу).ш.ьл.ив.ъ;послушьливъ;2/a;a;;720
844;слу;по.(слу).ш.ьн.ик.ъ;послушьникъ;2/m;n;;720
844;слу;по.(слу).ш.ьств.о;послушьство;2/n;n;;720
844;слу;по.(слу).ш.ьств.ов.а.т.и;послушьствовати;6;v;;720
857;слэд;по.(слэд).ов.а.т.и;послэдовати;6;v;;
857;слэд;по.(слэд).ък.ъ;послэдъкъ;2/m;n;;
329;и;подъ.(и).т.и;подъити;0;v;;826
377;клон;подъ.(клон).и.т.и;подъклонити;1;v;;657
411;коп;подъ.(коп).а.в.а.т.и;подъкопавати;7;v;;
411;коп;подъ.(коп).а.т.и;подъкопати;7;v;;
482;лаг;подъ.(лаг).а.т.и;подълагати;7;v;;827
482;лож;подъ.(лож).и.т.и;подъложити;1;v;;827
545;мет;подъ.(мет).ъ;подъметъ;2/m;n;;661, 669
605;неб;подъ.(неб).ес.ьн.ъ;подънебесьнъ;2/a;a;;
605;неб;подъ.(неб).ес.ьск.ъ;подънебесьскъ;2/a;a;;
612;нож;подъ.(нож).ьЁ.е;подъножиЕ;2/n;n;;
649;пад;подъ.(пад).а.т.и;подъпадати;7;v;;
654;пал;подъ.(пал).и.т.и;подъпалити;1;v;;829
773;ры;подъ.(ры).т.и;подърыти;4h*%);v;;717
883;стьл;подъ.(стьл).а.т.и;подъстьлати;3*;v;;783
917;сып;подъ.(сып).а.т.и;подъсыпати;3;v;;660
225;дэ;по.(дэ).л.ьЁ.е;подэлиЕ;2/n;n;;822
279;жэг;по.(жэг).а.т.и;пожагати;7;v;;668
281;жэл;по.(жэл).и.т.и;пожалити;1;v;;658
280;жел;по.(жел).а.н.ьЁ.е;пожеланиЕ;2/n;n;;
279;жег;по.(жег).т.и;пожещи;4c@;v;;668
286;жи;по.(жи).т.и;пожити;4h;v;;707
292;жрь;по.(жрь).т.и;пожрьти;4hj;v;;62, 751, 752
295;жрэ;по.(жрэ).т.и;пожрэти;4h*(;v;;62, 751, 752
288;жьд;по.(жьд).а.т.и;пожьдати;3o*;v;;659
302;жя;по.(жя).т.и;пожяти;4hj;v;;683, 818
98;вид;по.за.(вид).э.т.и;позавидэти;2;v;;
692;позд;(позд).ьн.ъ;поздьнъ;2/a;a;;
312;зла;по.(зла).т.и.т.и;позлатити;1;v;;774
319;зна;по.(зна).в.а.т.и;познавати;7;v;;
319;зна;по.(зна).н.ьЁ.е;познаниЕ;2/n;n;;
319;зна;по.(зна).т.и;познати;4v;v;;
321;зоб;по.(зоб).а.т.и;позобати;3;v;;
309;зор;по.(зор).ат.аЁ.ь;позоратаи;2/m;n;;62, 753
309;зор;по.(зор).ищ.е;позорище;2/n;n;;62, 753
309;зор;по.(зор).ов.а.т.и;позоровати;6;v;;62, 753
309;зор;по.(зор).ъ;позоръ;2/m;n;;62, 753
309;зор;по.(зор).ьн.ик.ъ;позорьникъ;2/m;n;;62, 753
323;зъв;по.(зъв).а.н.ьЁ.е;позъваниЕ;2/n;n;;678, 708
323;зъв;по.(зъв).а.т.и;позъвати;3o*;v;;678, 708
323;зыв;по.(зыв).а.т.и;позывати;7;v;;678, 708
309;зьр;по.(зьр).э.т.и;позьрэти;2;v;;62, 753
334;ьм;по.(ёьм).а.т.и;поимати;3*;v;;655, 691
334;им;по.(им).ов.а.т.и;поимовати;6;v;;655, 691
335;иск;по.(иск).а.т.и;поискати;3o;v;;655
651;поЁ;(поЁ).и.т.и;поити2;1;v;;737
329;и;по.(и).т.и;поити1;0;v;;826
360;ка;по.(каё).а.зн.ь;покаАзнь;1/f;n;;
360;ка;по.(каё).а.зн.ьн.ъ;покаАзньнъ;2/a;a;;
360;ка;по.(каё).а.н.ьЁ.е;покаАниЕ;2/n;n;;
360;ка;по.(каё).а.н.ьн.ъ;покаАньнъ;2/a;a;;
360;ка;по.(каё).а.т.и;покаАти;3;v;;
365;каЛ;по.(каЛ).а.т.и;покаЛАти;7;v;;
369;каР;по.(каР).а.т.и;покаРАти;7;v;;657
361;кад;по.(кад).и.т.и;покадити;1;v;;
363;каз;по.(каз).а.н.ьЁ.е;показаниЕ;2/n;n;;
363;каз;по.(каз).а.т.и;показати;3;v;;
363;каз;по.(каз).ов.а.т.и;показовати;6;v;;
476;кйп;по.(кйп).а.т.и;покйпати;3;v;;
377;клаН;по.(клаН).а.н.ьЁ.е;поклаНАниЕ;2/n;n;;657
377;клаН;по.(клаН).а.т.и;поклаНАти;7;v;;657
377;клоН;по.(клоН).ен.ьЁ.е;поклоНЕниЕ;2/n;n;;657
377;клон;по.(клон).и.т.и;поклонити;1;v;;657
377;клон;по.(клон).ъ;поклонъ;2/m;n;;657
377;клон;по.(клон).ьн.ик.ъ;поклоньникъ;2/m;n;;657
