id;root_number;root_form;mphl;norm;par_index;class;extent;reference;;
6181;1080;чрьн;(чрьн).ьц.ь;чрьньць;2/m;n;;62;;
6180;1080;чрьн;(чрьн).ъ;чрьнъ;2/a;a;;62;;
6179;1080;чрьн;(чрьн).иц.а;чрьница;2/f;n;;62;;
6178;1080;чрьн;(чрьн).и.л.о;чрьнило;2/n;n;;62;;
6177;1079;чрьм;(чрьм).ьн.ъ;чрьмьнъ;2/a;a;;62;;
6176;1079;чрьм;(чрьм).ьн.ов.а.т.и;чрьмьновати;6;v;;62;;
6175;1078;чрьв;(чрьв).ь;чрьвь;1/m;n;;62;;
6173;1078;чрьвл҄;(чрьвл҄).ен.ь;чрьвл҄ѥнь;1/f;n;;62;;
6174;1078;чрьв;(чрьв).и.т.и;чрьвити;1;v;;62;;
6172;1077;чловѣч;((чловѣч)).ьств.о;чловѣчьство;2/n;n;;62;;
6171;1077;чловѣч;((чловѣч)).ьск.ъ;чловѣчьскъ;2/a;a;;62;;
6170;1077;чловѣч;((чловѣч)).ьн.ъ;чловѣчьнъ;2/a;a;;62;;
6169;1077;чловѣч;((чловѣч)).ь;чловѣчь;2/a;a;;62;;
6168;1077;чловѣч;((чловѣч)).ин.ъ;чловѣчинъ;2/m;n;;62;;
6167;1077;чловѣк;((чловѣк)).ъ;чловѣкъ;2/m;n;;62;;
6166;1075;чист;(чист).ъ;чистъ;2/a;a;;;;
6165;1075;чист;(чист).от.а;чистота;2/f;n;;;;
6164;1075;чист;(чист).ост.ь;чистость;1/f;n;;;;
6163;1075;чист;(чист).и.т.и;чистити;1;v;;;;
6162;1075;чист;(чист).и.т.ел҄.ьств.о;чистител҄ьство;2/n;n;;;;
6161;1075;чист;(чист).и.т.ел҄.ь;чистител҄ь;2/m*;n;;;;
6160;1075;чист;(чист).ин.а;чистина;2/f;n;;;;
6159;1076;чит;(чит).т.и;чисти;4c*(;v;;659;;
6158;1076;чит;(чит).т.м.ѧ;чисмѧ;0/n;n;;659;;
6157;1076;чит;(чит).т.л.ьн.ъ;числьнъ;2/a;a;;659;;
6156;1076;чит;(чит).т.л.о;число;2/n;n;;659;;
6152;1073;чин҄;(чин҄).ен.ьj.е;чин҄ѥниѥ;2/n;n;;;;
6155;1073;чин;(чин).ъ;чинъ;2/m;n;;;;
6154;1073;чин;(чин).и.т.и;чинити;1;v;;;;
6153;359;ч;(ч).ьj.ь;чии;2/p;a;;792;;
6151;1069;чешу;((чешуi̯)).а;чешуꙗ;2/f;n;;;;
6150;1071;четыр;((четыр)).е;четыре;0/a;a;;62;;
